mes,lote,cod_distrito,distrito,muebles_010,muebles_recog._programada,muebles_recog._en_calle,total_kg_recogida_de_muebles,residuos_varios_viapublica_resto,orgánica_hojas_y_ramas,envases,papel_y_cartón,varios_residuos_de_construcción_y_demolición,kg_recogida_residuos_viarios,nº_servicios_barrido_manual,nº_servicios_barrido_mantenimiento,nº_servicios_barrido_mecánico,nº_servicios_barrido_mixto,nº_servicios_baldeo_mecánico,nº_servicios_baldeo_mixto,nº_servicios_hidrolimpiador_manchas,nº_servicios_eliminación_grafitis,m2_eliminación_grafitis,ud_reposición_bolsas_caninas,año,mes_año
ENERO,1,1,CENTRO ,35.12,7.84,3.09,46.05,0.0,262.0,2.62,8.26,645.4,656.542,1.396,1.645,92.0,72.0,0.0,452.0,43.0,281.0,474.0,890.0,2022,ENERO_2022
ENERO,1,6,TETUÁN,11.96,10.76,1.2,23.92,0.0,0.0,240.0,4.28,460.0,464.52,644.0,352.0,109.0,211.0,10.0,325.0,18.0,12.0,8.0,451.8,2022,ENERO_2022
ENERO,1,7,CHAMBERÍ,11.844,3.1,1.316,16.26,0.0,120.0,420.0,3.4,311.78,315.72,607.0,240.0,107.0,193.0,7.0,218.0,42.0,39.0,152.0,405.0,2022,ENERO_2022
ENERO,2,2,ARGANZUELA,23.76,0.0,0.0,23.76,294.6,0.0,0.0,0.0,0.0,294.6,1.107,0.0,18.0,110.0,0.0,119.0,0.0,17.0,42.0,350.1,2022,ENERO_2022
ENERO,2,3,RETIRO,6.62,0.0,0.0,6.62,342.83,0.0,0.0,0.0,0.0,342.83,818.0,0.0,34.0,145.0,0.0,130.0,0.0,15.0,28.0,300.5,2022,ENERO_2022
ENERO,2,4,SALAMANCA,1.1,0.0,0.0,1.1,667.792,0.0,0.0,0.0,0.0,667.792,1.222,0.0,3.0,133.0,1.0,91.0,0.0,5.0,9.0,379.6,2022,ENERO_2022
ENERO,2,5,CHAMARTÍN,81.01,0.0,0.0,81.01,174.66,0.0,0.0,0.0,0.0,174.66,1.343,0.0,0.0,192.0,7.0,379.0,0.0,29.0,42.0,310.2,2022,ENERO_2022
ENERO,3,8,FUENCARRAL,23.269,0.0,0.0,23.269,0.0,0.0,0.0,0.0,410.17,410.17,1.663,0.0,35.0,139.0,0.0,547.0,0.0,0.0,0.0,431.8,2022,ENERO_2022
ENERO,3,9,MONCLOA,4.94,0.0,0.0,4.94,0.0,0.0,0.0,0.0,347.12,347.12,1.351,0.0,32.0,123.0,0.0,546.0,0.0,30.0,47.0,266.44,2022,ENERO_2022
ENERO,3,10,LATINA,60.1,0.0,0.0,60.1,0.0,0.0,0.0,0.0,396.5,396.5,1.395,0.0,21.0,129.0,0.0,429.0,0.0,39.0,93.0,403.0,2022,ENERO_2022
ENERO,4,15,CIUDAD LINEAL,5.535,3.69,6.59,15.815,0.0,0.0,21.0,8.633,105.964,114.618,447.0,517.0,4.0,40.0,0.0,78.0,0.0,35.0,80.0,577.0,2022,ENERO_2022
ENERO,4,16,HORTALEZA,7.451,4.968,19.769,32.188,0.0,0.0,49.0,12.59,317.893,330.532,1.177,166.0,82.0,120.0,0.0,204.0,122.0,2.0,18.0,450.01,2022,ENERO_2022
ENERO,4,20,SAN BLAS,5.11,3.406,16.474,24.99,0.0,0.0,40.0,5.396,264.911,270.347,979.0,371.0,19.0,99.0,0.0,215.0,64.0,5.0,15.0,421.8,2022,ENERO_2022
ENERO,4,21,BARAJAS,3.193,2.129,23.064,28.386,0.0,0.0,30.0,9.352,370.875,380.257,1.03,105.0,18.0,80.0,0.0,223.0,0.0,8.0,23.0,240.0,2022,ENERO_2022
ENERO,5,13,PUENTE DE VALLECAS,5.383,711.0,4.063,10.157,0.0,4.872,0.0,2.31,667.935,675.117,1.38,193.0,130.0,468.0,0.0,278.0,0.0,7.0,28.0,590.0,2022,ENERO_2022
ENERO,5,18,VILLA DE VALLECAS,2.307,305.0,1.741,4.353,0.0,2.088,0.0,1.5,267.174,270.762,618.0,45.0,96.0,136.0,0.0,90.0,0.0,23.0,70.0,264.1,2022,ENERO_2022
ENERO,5,14,MORATALAZ,6.152,813.0,4.643,11.608,0.0,5.568,0.0,1.75,296.86,304.178,496.0,26.0,193.0,207.0,0.0,142.0,0.0,1.0,10.0,281.9,2022,ENERO_2022
ENERO,5,19,VICÁLVARO,1.538,203.0,1.161,2.902,0.0,1.392,0.0,550.0,252.331,254.273,545.0,112.0,100.0,116.0,0.0,120.0,0.0,3.0,8.0,177.6,2022,ENERO_2022
ENERO,6,11,CARABANCHEL,5.328,9.504,0.0,14.832,520.955,3.0,660.0,23.78,0.0,548.395,1.298,286.0,40.0,84.0,0.0,523.0,40.0,56.0,204.0,488.3,2022,ENERO_2022
ENERO,6,12,USERA,3.33,5.94,0.0,9.27,325.597,1.875,360.0,17.84,0.0,345.672,823.0,211.0,40.0,50.0,0.0,353.0,39.0,100.0,205.0,264.2,2022,ENERO_2022
ENERO,6,17,VILLAVERDE,4.662,8.316,0.0,12.978,455.836,2.625,180.0,20.84,0.0,479.481,991.0,228.0,62.0,60.0,0.0,441.0,34.0,44.0,27.0,244.2,2022,ENERO_2022
FEBRERO,1,1,CENTRO ,30.798,8.1,2.47,41.368,0.0,0.0,1.4,7.28,589.4,598.08,900.0,1.484,89.0,27.0,0.0,719.0,35.0,335.0,737.0,895.9,2022,FEBRERO_2022
FEBRERO,1,6,TETUÁN,43.94,37.35,6.59,87.88,0.0,0.0,160.0,5.8,404.42,410.38,497.0,191.0,105.0,56.0,20.0,390.0,16.0,41.0,87.0,453.5,2022,FEBRERO_2022
FEBRERO,1,7,CHAMBERÍ,12.96,4.786,1.44,19.186,0.0,0.0,360.0,6.44,336.86,343.66,437.0,235.0,116.0,107.0,3.0,352.0,34.0,34.0,24.0,408.15,2022,FEBRERO_2022
FEBRERO,2,2,ARGANZUELA,4.86,9.72,0.0,14.58,267.46,0.0,180.0,3.02,0.0,270.66,508.0,280.0,13.0,32.0,0.0,255.0,35.0,24.0,101.0,350.3,2022,FEBRERO_2022
FEBRERO,2,3,RETIRO,3.216,6.804,0.0,10.02,244.3,0.0,150.0,2.06,0.0,246.51,434.0,319.0,61.0,28.0,1.0,251.0,28.0,68.0,158.0,310.5,2022,FEBRERO_2022
FEBRERO,2,4,SALAMANCA,5.62,15.62,0.0,21.24,502.168,0.0,280.0,2.87,0.0,505.318,659.0,452.0,1.0,35.0,0.0,292.0,47.0,86.0,622.0,379.8,2022,FEBRERO_2022
FEBRERO,2,5,CHAMARTÍN,3.105,17.59,0.0,20.695,280.18,0.0,170.0,1.05,0.0,281.4,752.0,516.0,7.0,32.0,35.0,419.0,28.0,139.0,554.0,312.2,2022,FEBRERO_2022
FEBRERO,3,8,FUENCARRAL,11.34,37.62,30.82,79.78,0.0,0.0,400.0,8.16,326.08,334.64,1.06,160.0,78.0,56.0,0.0,512.0,56.0,58.0,122.0,396.1,2022,FEBRERO_2022
FEBRERO,3,9,MONCLOA,100.0,140.0,200.0,440.0,0.0,0.0,1.04,0.0,227.68,228.72,1.114,136.0,75.0,44.0,0.0,508.0,56.0,65.0,114.0,241.17,2022,FEBRERO_2022
FEBRERO,3,10,LATINA,7.04,29.38,23.46,59.88,0.0,0.0,580.0,4.1,329.579,334.259,1.086,108.0,28.0,48.0,0.0,396.0,56.0,66.0,285.0,401.34,2022,FEBRERO_2022
FEBRERO,4,15,CIUDAD LINEAL,9.021,9.069,0.0,18.09,0.0,0.0,21.0,2.655,197.43,200.106,513.0,468.0,12.0,42.0,0.0,179.0,0.0,78.0,107.0,587.45,2022,FEBRERO_2022
FEBRERO,4,16,HORTALEZA,21.049,21.161,0.0,42.21,0.0,0.0,49.0,6.195,460.67,466.914,1.417,160.0,102.0,119.0,0.0,509.0,110.0,6.0,18.0,470.32,2022,FEBRERO_2022
FEBRERO,4,20,SAN BLAS,18.042,18.138,0.0,36.18,0.0,0.0,40.0,4.55,330.05,334.64,1.071,334.0,28.0,100.0,0.0,472.0,56.0,7.0,29.0,442.8,2022,FEBRERO_2022
FEBRERO,4,21,BARAJAS,12.028,12.092,0.0,24.12,0.0,0.0,30.0,4.3,328.05,332.38,999.0,105.0,22.0,80.0,0.0,524.0,0.0,7.0,49.0,350.0,2022,FEBRERO_2022
FEBRERO,5,13,PUENTE DE VALLECAS ,8.512,3.648,0.0,12.16,0.0,0.0,0.0,2.12,267.848,269.968,1.252,170.0,92.0,69.0,0.0,553.0,21.0,54.0,126.0,612.5,2022,FEBRERO_2022
FEBRERO,5,18,VILLA DE VALLECAS ,3.192,1.368,0.0,4.56,0.0,0.0,0.0,1.62,100.443,102.063,544.0,42.0,162.0,40.0,0.0,265.0,14.0,23.0,42.0,284.1,2022,FEBRERO_2022
FEBRERO,5,14,MORATALAZ,7.448,3.192,0.0,10.64,0.0,0.0,0.0,1.56,234.367,235.927,415.0,22.0,57.0,17.0,0.0,146.0,8.0,15.0,50.0,293.1,2022,FEBRERO_2022
FEBRERO,5,19,VICÁLVARO,2.128,912.0,0.0,3.04,0.0,0.0,0.0,1.28,66.962,68.242,474.0,99.0,73.0,26.0,0.0,215.0,8.0,30.0,79.0,197.6,2022,FEBRERO_2022
FEBRERO,6,11,CARABANCHEL,12.428,8.2,0.0,20.628,477.54,0.0,0.0,25.816,0.0,503.356,1.103,262.0,18.0,78.0,0.0,500.0,79.0,116.0,239.0,478.5,2022,FEBRERO_2022
FEBRERO,6,12,USERA,7.767,5.125,0.0,12.892,298.463,0.0,0.0,16.135,0.0,314.598,756.0,185.0,30.0,50.0,0.0,323.0,81.0,39.0,100.0,284.9,2022,FEBRERO_2022
FEBRERO,6,17,VILLAVERDE,10.875,7.175,0.0,18.05,417.847,0.0,0.0,22.589,0.0,440.436,907.0,215.0,42.0,61.0,0.0,418.0,73.0,31.0,79.0,274.4,2022,FEBRERO_2022
MARZO,1,1,CENTRO ,31.56,9.94,2.32,43.82,0.0,0.0,2.76,11.52,665.28,679.56,958.0,1.612,93.0,28.0,13.0,807.0,39.0,421.0,917.0,865.1,2022,MARZO_2022
MARZO,1,6,TETUÁN,46.2,41.6,4.6,92.4,0.0,0.0,260.0,4.04,407.0,411.3,632.0,352.0,115.0,60.0,25.0,428.0,18.0,34.0,88.0,472.5,2022,MARZO_2022
MARZO,1,7,CHAMBERÍ,14.85,5.484,1.65,21.984,0.0,0.0,0.0,5.04,357.08,362.12,547.0,251.0,91.0,110.0,9.0,347.0,39.0,80.0,230.0,398.2,2022,MARZO_2022
MARZO,2,2,ARGANZUELA,5.02,8.94,5.62,19.58,226.17,0.0,426.0,4.22,0.0,230.816,624.0,318.0,15.0,37.0,3.0,274.0,45.0,50.0,259.0,350.4,2022,MARZO_2022
