MES;LOTE;DISTRITO;Kg Recogida de muebles;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
ENERO 2021;1;CENTRO;12200;513506;2569;5;17;367;33;279;598;364000
ENERO 2021;1;CHAMBERÍ;12020;370840;725;12;27;126;24;23;89;360000
ENERO 2021;1;TETUÁN;2120;164180;976;9;35;97;29;44;283;420000
ENERO 2021;2;ARGANZUELA;0;277765;667;8;26;76;47;70;81;350000
ENERO 2021;2;RETIRO;12760;352846;135;15;14;40;9;39;152;29843
ENERO 2021;2;SALAMANCA;7060;999698;389;23;28;77;51;54;339;74650
ENERO 2021;2;CHAMARTÍN;5420;327900;112;0;23;63;13;44;456;26674
ENERO 2021;3;FUENCARRAL-EL PARDO;2120;391260;0;0;0;0;0;0;0;120000
ENERO 2021;3;MONCLOA-ARAVACA;5240;63000;0;0;0;0;0;0;0;80000
ENERO 2021;3;LATINA;1760;222900;0;0;0;0;0;0;0;130000
ENERO 2021;4;BARAJAS;0;44226;20;4;5;1;3;0;0;76150
ENERO 2021;4;HORTALEZA;3460;80694;30;4;5;3;3;0;0;187450
ENERO 2021;4;SAN BLAS-CANILLEJAS;7820;72150;71;0;10;3;0;10;480;105800
ENERO 2021;4;CIUDAD LINEAL;6360;167630;157;0;8;4;6;5;50;204600
ENERO 2021;5;PUENTE DE VALLECAS;0;441880;1120;34;78;75;72;185;384;448000
ENERO 2021;5;VILLA DE VALLECAS;0;132564;222;11;74;23;29;27;78;200000
ENERO 2021;5;MORATALAZ;0;176752;679;12;24;6;15;46;89;216000
ENERO 2021;5;VICÁLVARO;0;132564;501;10;20;23;18;24;21;140000
ENERO 2021;6;CARABANCHEL;368;543751;806;30;14;90;73;107;356;242868
ENERO 2021;6;USERA;230;339844;437;15;1;40;38;6;27;110727
ENERO 2021;6;VILLAVERDE;322;475782;372;14;5;45;40;32;299;160402
FEBRERO 2021;1;CENTRO;33640;571140;1727;0;3;693;50;842;1779;552000
FEBRERO 2021;1;CHAMBERÍ;38560;316390;653;23;36;309;81;155;396;360000
FEBRERO 2021;1;TETUÁN;18820;249840;675;20;0;212;81;146;641;420000
FEBRERO 2021;2;ARGANZUELA;9260;265255;762;24;0;161;52;308;341;360000
FEBRERO 2021;2;RETIRO;4680;340580;674;33;27;76;62;110;424;396000
FEBRERO 2021;2;SALAMANCA;10180;866860;875;32;0;196;45;114;908;418040
FEBRERO 2021;2;CHAMARTÍN;11120;300550;665;3;45;154;51;209;1534;288000
FEBRERO 2021;3;FUENCARRAL-EL PARDO;9380;555120;785;18;48;81;72;2265;275;588000
FEBRERO 2021;3;MONCLOA-ARAVACA;18740;100360;465;0;34;82;40;142;336;359000
FEBRERO 2021;3;LATINA;7720;471860;593;0;112;211;6;116;2640;560000
FEBRERO 2021;4;BARAJAS;6320;191800;117;15;26;46;23;148;837;268600
FEBRERO 2021;4;HORTALEZA;18080;368360;603;49;95;84;65;259;1136;730800
FEBRERO 2021;4;SAN BLAS-CANILLEJAS;40020;582510;476;0;10;136;58;224;718;699400
FEBRERO 2021;4;CIUDAD LINEAL;83940;814870;737;8;38;128;79;355;1994;1052500
FEBRERO 2021;5;PUENTE DE VALLECAS;9740;646151;1253;60;149;152;145;519;951;448000
FEBRERO 2021;5;VILLA DE VALLECAS;2922;193845;335;9;174;68;49;119;451;200000
FEBRERO 2021;5;MORATALAZ;3896;258460;356;23;41;36;15;100;201;216000
FEBRERO 2021;5;VICÁLVARO;2922;193845;323;18;42;69;38;89;177;140000
FEBRERO 2021;6;CARABANCHEL;4464;538968;1449;74;24;180;138;363;998;446955
FEBRERO 2021;6;USERA;2790;336855;969;20;0;69;77;156;395;228810
FEBRERO 2021;6;VILLAVERDE;3906;471597;800;25;12;82;72;212;630;324063
MARZO 2021;1;CENTRO;33020;607180;2577;0;3;1020;68;706;2603;512000
MARZO 2021;1;CHAMBERÍ;35540;288420;694;23;27;336;83;125;240;360000
MARZO 2021;1;TETUÁN;19180;388380;697;34;1;228;87;154;1847;420000
MARZO 2021;2;ARGANZUELA;20720;151720;879;16;0;203;41;408;484;323000
MARZO 2021;2;RETIRO;6520;364069;547;32;24;78;62;107;432;433700
MARZO 2021;2;SALAMANCA;14160;788076;952;45;0;214;58;64;404;462830
MARZO 2021;2;CHAMARTÍN;72900;393124;734;7;59;158;50;201;1888;301000
MARZO 2021;3;FUENCARRAL-EL PARDO;9140;510500;855;22;63;89;68;401;2965;590000
MARZO 2021;3;MONCLOA-ARAVACA;19900;142270;536;0;41;106;45;259;360;362000
MARZO 2021;3;LATINA;6240;544260;597;0;137;238;44;174;2880;568000
MARZO 2021;4;BARAJAS;15340;153650;134;15;29;47;26;71;805;304050
MARZO 2021;4;HORTALEZA;43100;335206;730;31;96;103;75;239;1724;810550
MARZO 2021;4;SAN BLAS-CANILLEJAS;79780;421000;547;18;29;148;70;652;4577;781500
MARZO 2021;4;CIUDAD LINEAL;79540;594495;848;7;59;160;82;277;1659;917400
MARZO 2021;5;PUENTE DE VALLECAS;4140;680110;1450;69;193;177;142;440;651;448000
MARZO 2021;5;VILLA DE VALLECAS;1242;204033;390;31;118;84;73;155;483;200000
MARZO 2021;5;MORATALAZ;1656;272044;425;37;25;37;20;106;310;216000
MARZO 2021;5;VICÁLVARO;1242;204033;448;24;34;75;42;156;408;140000
MARZO 2021;6;CARABANCHEL;2880;593592;1600;83;27;199;160;506;2053;432617
MARZO 2021;6;USERA;1800;370995;1088;39;0;74;76;181;464;41474
MARZO 2021;6;VILLAVERDE;2520;519393;926;32;13;83;67;77;408;319095
ABRIL 2021;1;CENTRO;31900;552440;2492;1;0;1065;78;825;1814;503000
ABRIL 2021;1;CHAMBERÍ;34220;327930;681;21;15;326;97;160;610;360000
ABRIL 2021;1;TETUÁN;21040;325360;587;15;0;280;88;142;1238;420000
ABRIL 2021;2;ARGANZUELA;18560;96620;773;19;1;205;45;295;251;287000
ABRIL 2021;2;RETIRO;6580;340420;510;23;6;92;55;97;432;392300
ABRIL 2021;2;SALAMANCA;21600;880480;896;33;7;204;47;111;776;447900
ABRIL 2021;2;CHAMARTÍN;6520;326360;580;22;48;193;31;152;1022;298000
ABRIL 2021;3;FUENCARRAL-EL PARDO;8630;552420;740;15;59;84;72;255;2006;501000
ABRIL 2021;3;MONCLOA-ARAVACA;25820;177260;483;0;40;100;42;161;240;374000
ABRIL 2021;3;LATINA;7640;486540;551;0;127;190;31;247;4666;575000
ABRIL 2021;4;BARAJAS;13380;139922;106;19;27;43;25;120;818;295000
ABRIL 2021;4;HORTALEZA;43320;294986;626;55;96;95;74;360;1685;741100
ABRIL 2021;4;SAN BLAS-CANILLEJAS;57620;369220;522;15;41;159;60;266;1257;706400
ABRIL 2021;4;CIUDAD LINEAL;91120;550250;850;4;73;151;73;394;1370;865500
ABRIL 2021;5;PUENTE DE VALLECAS;2050;670975;1381;63;167;174;144;556;524;608
ABRIL 2021;5;VILLA DE VALLECAS;615;201293;393;16;104;74;70;117;258;280
ABRIL 2021;5;MORATALAZ;820;356959;351;8;40;38;20;85;164;216
ABRIL 2021;5;VICÁLVARO;615;267719;390;25;40;72;36;92;107;140
ABRIL 2021;6;CARABANCHEL;5428;577668;1561;84;27;183;133;354;1209;420778
ABRIL 2021;6;USERA;3392;361042;991;28;12;72;76;113;419;41571
ABRIL 2021;6;VILLAVERDE;4750;505460;665;45;21;69;257;164;288;320225
MAYO 2021;1;CENTRO;29310;676820;2567;0;8;1058;63;729;3374;584000
