MES;LOTE;COD_DISTRITO;DISTRITO;MUEBLES 010    ;MUEBLES RECOG. PROGRAMADA ;MUEBLES RECOG. EN CALLE             ;Kg Recogida de muebles;RESTO            ;ORGÁNICA   (HOJAS Y RAMAS)                 ;ENVASES         ;PAPEL Y CARTÓN;VARIOS/RCDs CÓD DESTINO: VERLD;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mantenimiento;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Baldeo Mixto;Nº Servicios Hidrolimpiador (Manchas);Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas;;;;;;;;;;;;;
ENERO;1;1;CENTRO ;36.750;16.400;3.390;56.540;572.560;8.060;2.700;17.420;55.860;656.600;1.317;1.608;104;91;0;463;83;1.161;7.077;855.100;;;;;;;;;;;;;
ENERO;1;6;TETUÁN;21.800;17.130;38.930;77.860;404.620;12.260;220;3.620;5.180;425.900;745;332;115;393;7;143;62;857;8.452;511.000;;;;;;;;;;;;;
ENERO;1;7;CHAMBERÍ;52.780;4.650;6.550;63.980;260.220;34.540;320;1.660;9.300;306.040;631;270;12;308;2;216;51;258;1.244;409.400;;;;;;;;;;;;;
ENERO;2;2;ARGANZUELA;9.740;10.360;20.060;40.160;150.800;38.180;0;1.160;98.440;288.580;852;277;12;101;0;263;36;451;6.597;417.000;;;;;;;;;;;;;
ENERO;2;3;RETIRO;47.220;41.544;13.848;102.612;83.088;7.020;0;14.060;94.520;198.688;532;369;26;70;0;245;21;196;1.268;361.200;;;;;;;;;;;;;
ENERO;2;4;SALAMANCA;21.440;12.135;4.945;38.520;359.140;2.900;0;2.100;16.180;380.320;689;501;5;76;0;335;33;402;2.041;412.000;;;;;;;;;;;;;
ENERO;2;5;CHAMARTÍN;8.900;3.100;2.020;14.020;104.820;2.360;0;0;355.520;462.700;715;354;6;48;0;494;19;437;3.756;459.200;;;;;;;;;;;;;
ENERO;3;8;FUENCARRAL;47.400;29.540;56.640;133.580;133.380;38.949;0;27.800;47.900;248.029;1.476;177;85;99;0;565;62;342;4.970;426.600;;;;;;;;;;;;;
ENERO;3;9;MONCLOA;36.720;4.900;22.780;64.400;81.020;70.460;0;11.760;16.160;179.400;1.110;240;78;90;0;560;62;269;2.546;242.780;;;;;;;;;;;;;
ENERO;3;10;LATINA;72.220;26.640;57.380;156.240;93.000;43.940;720;6.540;26.440;170.640;1.235;150;34;107;0;438;62;487;10.501;445.800;;;;;;;;;;;;;
ENERO;4;15;CIUDAD LINEAL;30.387;23.480;38.540;92.407;94.445;15.975;85;23.040;169.848;303.393;1.072;499;31;80;0;536;0;577;5.892;622.600;;;;;;;;;;;;;
ENERO;4;16;HORTALEZA;48.619;37.568;61.664;147.851;151.112;25.560;136;36.864;271.756;485.428;1.697;177;117;120;0;529;137;124;1.263;625.050;;;;;;;;;;;;;
ENERO;4;20;SAN BLAS;24.310;18.784;30.832;73.926;75.556;12.780;68;18.432;135.878;242.714;1.195;359;30;102;0;476;58;34;490;551.280;;;;;;;;;;;;;
ENERO;4;21;BARAJAS;18.232;14.088;23.124;55.444;56.667;9.585;51;13.824;101.909;182.036;569;108;13;40;0;190;0;16;369;422.950;;;;;;;;;;;;;
ENERO;5;13;PUENTE DE VALLECAS;17.725;5.479;164.633;187.837;127.943;34.876;2.563;25.115;302.082;492.579;1.865;241;48;244;0;181;35;857;10.317;666.870;;;;;;;;;;;;;
ENERO;5;18;VILLA DE VALLECAS;8.257;4.476;64.795;77.528;49.792;12.141;1.322;18.060;173.808;255.123;815;68;94;98;0;74;13;73;541;396.480;;;;;;;;;;;;;
ENERO;5;14;MORATALAZ;7.596;2.991;42.486;53.073;35.547;25.829;777;8.611;95.178;165.942;582;85;20;96;0;59;8;165;1.873;317.950;;;;;;;;;;;;;
ENERO;5;19;VICÁLVARO;5.064;1.994;28.324;35.382;23.698;8.094;518;5.974;63.452;101.736;614;123;33;145;0;70;6;86;902;358.300;;;;;;;;;;;;;
ENERO;6;11;CARABANCHEL;7.493;8.580;197.754;213.827;182.741;14.467;35;30.457;129.404;357.104;1.522;365;44;83;0;538;51;568;7.581;640.900;;;;;;;;;;;;;
ENERO;6;12;USERA;4.428;5.070;116.854;126.352;107.983;8.549;21;17.997;76.466;211.016;998;287;47;52;0;343;53;320;2.832;369.690;;;;;;;;;;;;;
ENERO;6;17;VILLAVERDE;5.109;5.850;134.832;145.791;124.596;9.864;24;20.766;88.230;243.480;1.210;376;67;63;0;442;32;97;893;422.470;;;;;;;;;;;;;
FEBRERO;1;1;CENTRO ;38.840;17.330;3.580;59.750;536.800;1.140;4.380;15.840;7.960;566.120;1.121;1.450;93;57;0;443;76;902;6.733;866.300;;;;;;;;;;;;;
FEBRERO;1;6;TETUÁN;21.640;14.420;36.060;72.120;351.020;0;120;3.000;0;354.140;622;278;108;155;9;156;52;109;810;509.100;;;;;;;;;;;;;
FEBRERO;1;7;CHAMBERÍ;47.840;4.240;5.200;57.280;206.880;1.840;200;2.860;10.740;222.520;516;244;9;158;0;237;43;402;3.086;411.600;;;;;;;;;;;;;
FEBRERO;2;2;ARGANZUELA;2.280;7.900;36.760;46.940;124.500;0;0;4.620;104.470;233.590;754;215;16;46;0;273;36;174;2.744;428.200;;;;;;;;;;;;;
FEBRERO;2;3;RETIRO;23.736;11.868;3.956;39.560;96.500;0;940;11.120;79.450;188.010;477;311;31;27;0;225;20;244;1.633;360.500;;;;;;;;;;;;;
FEBRERO;2;4;SALAMANCA;15.565;4.315;840;20.720;290.360;4.620;340;7.180;75.560;378.060;609;448;5;20;0;316;27;46;517;418.500;;;;;;;;;;;;;
FEBRERO;2;5;CHAMARTÍN;9.960;11.900;2.580;24.440;120.800;0;0;0;149.040;269.840;760;349;1;36;0;447;10;109;1.657;451.700;;;;;;;;;;;;;
FEBRERO;3;8;FUENCARRAL;30.540;46.760;79.389;156.689;140.120;0;0;20.280;77.206;237.606;1.332;160;80;172;0;512;56;422;6.711;433.700;;;;;;;;;;;;;
FEBRERO;3;9;MONCLOA;34.420;12.380;9.920;56.720;77.360;1.760;0;11.120;51.540;141.780;1.004;216;74;185;0;508;56;328;3.525;248.900;;;;;;;;;;;;;
FEBRERO;3;10;LATINA;97.200;47.240;77.380;221.820;91.920;0;1.020;9.660;38.100;140.700;1.114;136;26;185;0;396;56;689;9.030;455.100;;;;;;;;;;;;;
FEBRERO;4;15;CIUDAD LINEAL;37.818;25.974;43.128;106.920;92.871;1.884;54;21.789;169.791;286.389;1.066;462;23;104;0;522;0;215;2.506;633.450;;;;;;;;;;;;;
FEBRERO;4;16;HORTALEZA;44.121;30.303;50.316;124.740;108.350;2.198;63;25.421;198.090;334.121;1.659;173;112;120;0;512;140;488;6.281;638.100;;;;;;;;;;;;;
FEBRERO;4;20;SAN BLAS;25.212;17.316;28.752;71.280;61.914;1.256;36;14.526;113.194;190.926;1.182;327;28;99;0;471;48;438;4.380;566.350;;;;;;;;;;;;;
FEBRERO;4;21;BARAJAS;18.909;12.987;21.564;53.460;46.436;942;27;10.895;84.896;143.195;574;104;12;40;0;184;0;103;702;433.100;;;;;;;;;;;;;
FEBRERO;5;13;PUENTE DE VALLECAS ;15.871;6.874;161.781;184.526;79.698;728;336;24.845;217.468;323.075;1.481;216;33;219;0;250;31;345;2.779;676.170;;;;;;;;;;;;;
FEBRERO;5;18;VILLA DE VALLECAS ;18.138;7.856;77.750;103.744;37.512;273;384;17.680;162.820;218.669;677;60;87;88;0;91;12;173;1.546;402.400;;;;;;;;;;;;;
FEBRERO;5;14;MORATALAZ;6.802;2.946;47.906;57.654;23.442;637;144;8.505;76.058;108.786;483;76;19;61;0;72;8;43;1.143;322.800;;;;;;;;;;;;;
FEBRERO;5;19;VICÁLVARO;4.535;1.964;31.938;38.436;15.628;182;96;5.670;50.705;72.281;509;108;31;125;0;98;4;137;1.688;365.900;;;;;;;;;;;;;
FEBRERO;6;11;CARABANCHEL;9.249;7.744;188.500;205.493;146.368;0;112;30.712;83.300;260.492;1.291;313;32;74;0;501;23;893;11.447;655.600;;;;;;;;;;;;;
FEBRERO;6;12;USERA;5.465;4.576;111.386;121.427;91.480;0;70;18.148;52.062;161.760;825;251;43;46;0;317;30;176;1.911;374.700;;;;;;;;;;;;;
FEBRERO;6;17;VILLAVERDE;6.306;5.280;128.523;140.109;128.072;0;98;20.940;72.887;221.997;1.018;325;60;57;0;408;19;235;2.858;429.150;;;;;;;;;;;;;
MARZO;1;1;CENTRO ;41.600;18.560;3.840;64.000;619.640;0;6.720;15.300;19.780;661.440;1.084;1.596;105;31;0;657;84;1.037;5.420;876.100;;;;;;;;;;;;;
MARZO;1;6;TETUÁN;28.480;18.990;47.480;94.950;300.580;0;140;5.140;2.280;308.140;691;333;125;107;15;379;60;550;5.285;515.700;;;;;;;;;;;;;
MARZO;1;7;CHAMBERÍ;44.720;3.300;4.120;52.140;299.700;0;160;3.360;4.880;308.100;522;271;11;116;0;381;56;242;1.133;422.000;;;;;;;;;;;;;
MARZO;2;2;ARGANZUELA;10.520;7.820;35.340;53.680;167.968;1.580;0;3.720;107.400;280.668;823;275;16;55;0;308;43;383;4.849;415.000;;;;;;;;;;;;;
MARZO;2;3;RETIRO;27.840;13.920;4.640;46.400;170.240;0;1.560;22.040;13.500;207.340;531;368;32;30;0;248;21;103;634;338.700;;;;;;;;;;;;;
MARZO;2;4;SALAMANCA;15.115;12.225;5.220;32.560;384.270;0;540;5.540;46.000;436.350;668;496;4;22;1;352;32;312;970;423.900;;;;;;;;;;;;;
MARZO;2;5;CHAMARTÍN;14.220;8.860;4.360;27.440;90.020;0;0;0;214.380;304.400;913;419;2;43;0;506;10;471;3.861;468.000;;;;;;;;;;;;;
MARZO;3;8;FUENCARRAL;44.506;24.140;81.109;149.755;104.340;0;260;20.920;63.840;189.360;1.471;175;83;171;0;569;31;184;3.442;424.500;;;;;;;;;;;;;
MARZO;3;9;MONCLOA;33.760;21.480;10.960;66.200;120.420;0;0;12.200;42.740;175.360;1.103;239;75;169;0;567;31;203;2.525;251.000;;;;;;;;;;;;;
MARZO;3;10;LATINA;125.280;31.400;81.500;238.180;120.460;0;780;11.120;27.820;160.180;1.229;147;31;175;0;445;31;908;17.433;462.700;;;;;;;;;;;;;
MARZO;4;15;CIUDAD LINEAL;41.172;29.318;49.659;120.149;117.216;0;80;24.450;192.197;333.943;1.105;512;22;87;0;580;0;529;3.094;640.100;;;;;;;;;;;;;
MARZO;4;16;HORTALEZA;48.034;34.204;57.936;140.173;136.752;0;90;28.525;224.230;389.597;1.741;190;123;131;0;566;155;152;2.283;644.700;;;;;;;;;;;;;
MARZO;4;20;SAN BLAS;34.310;24.431;41.383;100.124;97.680;0;65;20.375;160.164;278.284;1.215;366;31;110;0;520;62;51;881;575.100;;;;;;;;;;;;;
MARZO;4;21;BARAJAS;13.724;9.773;16.553;40.050;39.072;0;25;8.150;64.066;111.313;591;111;13;44;0;203;0;27;285;436.600;;;;;;;;;;;;;
MARZO;5;13;PUENTE DE VALLECAS ;21.584;8.232;186.184;216.000;69.727;0;665;33.450;189.305;293.147;1.440;237;36;114;0;605;36;392;4.465;664.100;;;;;;;;;;;;;
MARZO;5;18;VILLA DE VALLECAS ;14.668;9.408;104.924;129.000;79.688;0;760;16.800;216.348;313.596;651;66;83;69;0;236;13;152;1.193;445.600;;;;;;;;;;;;;
MARZO;5;14;MORATALAZ;9.250;3.528;56.222;69.000;29.883;0;285;10.050;81.131;212.349;480;85;8;27;0;185;8;209;2.253;359.500;;;;;;;;;;;;;
MARZO;5;19;VICÁLVARO;6.167;2.352;37.481;46.000;19.922;0;190;6.700;54.087;80.899;534;117;25;60;0;232;5;68;463;375.000;;;;;;;;;;;;;
MARZO;6;11;CARABANCHEL;10.771;11.475;219.718;241.964;172.674;0;70;36.696;83.576;293.016;1.532;370;46;87;0;570;48;665;7.748;639.400;;;;;;;;;;;;;
MARZO;6;12;USERA;6.365;6.781;129.834;142.980;102.034;0;42;21.684;49386;173.146;977;297;50;55;0;359;54;289;3.108;359.900;;;;;;;;;;;;;
MARZO;6;17;VILLAVERDE;7.344;7.824;149.808;164.976;117.732;0;48;25.020;56.984;199.784;1.203;384;60;69;0;464;50;55;481;424.000;;;;;;;;;;;;;
ABRIL;1;1;CENTRO ;41.380;18.460;3.820;63.660;571.980;0;6.280;13.460;15.760;607.480;966;1.540;95;82;0;777;78;744;4.154;823.100;;;;;;;;;;;;;
ABRIL;1;6;TETUÁN;28.130;18.750;46.880;93.760;372.160;0;320;8.540;0;381.020;580;320;100;211;1;421;60;98;2.611;499.600;;;;;;;;;;;;;
ABRIL;1;7;CHAMBERÍ;34.020;3.450;4.820;42.290;246.580;0;240;2.140;0;248.960;505;260;12;166;0;403;60;237;904;403.000;;;;;;;;;;;;;
ABRIL;2;2;ARGANZUELA;6.320;10.020;35.560;51.900;184.140;0;0;2.320;122.460;308.920;789;249;16;79;0;278;41;227;2.399;422.000;;;;;;;;;;;;;
ABRIL;2;3;RETIRO;21.888;10.944;3.648;36.480;164.740;0;800;14.100;36.200;215.840;529;359;15;55;0;240;32;173;1.307;343.500;;;;;;;;;;;;;
ABRIL;2;4;SALAMANCA;10.670;4.905;3.805;19.380;356.400;0;240;2.960;22.460;382.060;655;485;3;66;0;329;40;83;628;409.500;;;;;;;;;;;;;
ABRIL;2;5;CHAMARTÍN;13.640;7.220;2.560;23.420;30.240;160;0;0;294.580;324.980;842;385;0;91;0;468;27;130;684;448.500;;;;;;;;;;;;;
ABRIL;3;8;FUENCARRAL;44.000;40.960;61.670;146.630;160.330;5.080;280;18.880;123.680;308.250;1.484;147;82;109;0;526;30;368;3.953;421.200;;;;;;;;;;;;;
ABRIL;3;9;MONCLOA;43.220;7.840;12.300;63.360;116.360;0;640;9.880;87.450;214.330;1.151;178;78;96;0;524;30;254;3.045;234.600;;;;;;;;;;;;;
ABRIL;3;10;LATINA;144.740;35.260;72.640;252.640;124.340;0;660;8.700;70.162;203.862;1.218;150;30;96;0;410;30;713;13.446;447.600;;;;;;;;;;;;;
ABRIL;4;15;CIUDAD LINEAL;45.150;37.449;58.122;140.721;114.168;0;110;27.426;279.291;420.995;1.093;499;18;73;0;534;0;253;2.886;618.600;;;;;;;;;;;;;
ABRIL;4;16;HORTALEZA;52.675;43.691;67.809;164.175;133.196;0;130;31.997;325.840;491.163;1.696;185;114;111;0;503;150;425;3.851;621.300;;;;;;;;;;;;;
