mes,lote,cod_distrito,distrito,año,waste_type,amount,category
ENERO,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,262.0,recyclable
ENERO,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,120.0,recyclable
ENERO,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,2,3,RETIRO,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,3,10,LATINA,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
ENERO,5,13,PUENTE DE VALLECAS,2022,orgánica_hojas_y_ramas,4.872,recyclable
ENERO,5,18,VILLA DE VALLECAS,2022,orgánica_hojas_y_ramas,2.088,recyclable
ENERO,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,5.568,recyclable
ENERO,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,1.392,recyclable
ENERO,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,3.0,recyclable
ENERO,6,12,USERA,2022,orgánica_hojas_y_ramas,1.875,recyclable
ENERO,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,2.625,recyclable
FEBRERO,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,2,3,RETIRO,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,3,10,LATINA,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,6,12,USERA,2022,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,0.0,recyclable
