cod_distrito,distrito,geographical_location,precise_geographical_location
1,CENTRO,,Central
6,TETUÁN,,North-West
7,CHAMBERÍ,,Central
2,ARGANZUELA,,South
3,RETIRO,,South-East
4,SALAMANCA,,North-East
5,CHAMARTÍN,,North
8,FUENCARRAL,,North-West
9,MONCLOA,,West
10,LATINA,,South-West
15,CIUDAD LINEAL,,North-East
16,HORTALEZA,,North-East
20,SAN BLAS,,North-East
21,BARAJAS,,North-East
13,PUENTE DE VALLECAS,,South-East
18,VILLA DE VALLECAS,,South-East
14,MORATALAZ,,East
19,VICÁLVARO,,East
11,CARABANCHEL,,South-West
12,USERA,,South
17,VILLAVERDE,,South
13,PUENTE DE VALLECAS,,South-East
18,VILLA DE VALLECAS,,South-East
